State_Name,District_Name,Season,Crop,Area,Production,lat,lon
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Dry ginger,94,828.52,11.9843744,92.9559795
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi       ,Groundnut,15.5,7.6,11.9843744,92.9559795
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Banana,360,5517,11.9843744,92.9559795
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year ,Coconut ,3540,11000000,11.9843744,92.9559795
Andhra Pradesh,ANANTAPUR,Kharif     ,Other Kharif pulses,2000,300,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Kharif     ,Ragi,7000,14900,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Kharif     ,Rice,38300,96800,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Kharif     ,Sunflower,21300,12200,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Rabi       ,Dry chillies,200,200,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Rabi       ,Gram,26200,25900,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Rabi       ,Groundnut,25900,35800,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Whole Year ,Sugarcane,700,65900,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Whole Year ,Tobacco,100,100,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Kharif     ,Bajra,1635,889,14.6546235,77.5562598
Andhra Pradesh,ANANTAPUR,Kharif     ,Castor seed,1880,355,14.6546235,77.5562598
Andhra Pradesh,CHITTOOR,Kharif     ,Sunflower,535,449,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Kharif     ,Urad,120,7,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Rabi       ,Bajra,393,514,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Rabi       ,Dry chillies,2676,3056,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Rabi       ,Groundnut,22396,60156,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Rabi       ,Horse-gram,1509,318,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Rabi       ,Jowar,54,65,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Whole Year ,Banana,953,19033,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Whole Year ,Cashewnut,126,27,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Whole Year ,Coconut ,4011,17215660,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Whole Year ,Coriander,60,19,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Whole Year ,Potato,957,8177,13.1601048,79.1555506
Andhra Pradesh,CHITTOOR,Whole Year ,Sugarcane,40539,3697441,13.1601048,79.1555506
Andhra Pradesh,EAST GODAVARI,Kharif     ,Turmeric,159,1059,17.233496,81.7225986
Andhra Pradesh,EAST GODAVARI,Kharif     ,Urad,1969,1231,17.233496,81.7225986
Andhra Pradesh,EAST GODAVARI,Rabi       ,Arhar/Tur,51,49,17.233496,81.7225986
Andhra Pradesh,EAST GODAVARI,Rabi       ,Brinjal,908,5919,17.233496,81.7225986
